Year,Sea_Ice_Extent,CO2,Precipitation,Temperature
1979,11.7,20.031861684352236,946.9,-0.138932
1980,11.23,19.78250886970149,943.02,-0.000251
1981,11.435,19.41172449479576,952.35,-0.007382
1982,11.64,19.164990175102968,958.23,-0.143299
1983,11.389,19.310267766172142,988.17,-0.059294
1984,11.454,19.942496821868325,992.14,-0.041209
1985,11.618,20.20656267328064,971.36,-0.09125
1986,11.088,20.56553523321909,950.31,-0.165446
1987,11.554,21.224640642712156,955.27,-0.134973
1988,12.131,21.984330890672613,989.83,-0.109783
1989,11.426,22.370547936871077,962.05,-0.078897
1990,11.41,22.6804076458686,943.95,-0.128667
1991,11.545,22.80953629763656,933.96,-0.108772
1992,11.399,22.70974381823781,970.12,-0.096998
1993,11.42,22.80288953655809,953.07,-0.114093
1994,11.774,23.033288262428467,936.93,-0.183854
1995,11.795,23.67935568549968,959.45,-0.175762
1996,11.769,24.14546158669484,965.48,-0.184104
1997,11.39,24.59816550186461,945.18,-0.140541
1998,11.738,24.75632052481369,1022.88,-0.144645
1999,11.761,24.93961669850151,952.08,-0.270599
2000,11.747,25.725448476800583,984.39,-0.225969
2001,11.673,26.031174557958064,970.17,-0.256029
2002,11.222,26.43330143933464,967.69,-0.182332
2003,11.969,27.65683270282675,970.82,-0.131212
2004,11.961,28.9487583230062,971.79,-0.142198
2005,11.695,30.04455531704507,963.94,-0.210749
2006,11.461,31.06510816335793,965.4,-0.166518
2007,11.687,32.2325304287898,977.31,-0.19439
2008,12.239,32.431271463193696,955.18,-0.293654
2009,12.049,32.020697928627825,979.67,-0.293452
2010,12.107,34.00367076736887,972.0,-0.263775
2011,11.501,35.05958972836099,942.72,-0.36621
2012,12.004,35.52172903371658,964.7,-0.316129
2013,12.524,36.22115983302197,969.82,-0.248116
2014,12.776,36.42779094866711,941.84,-0.322117
2015,12.414,36.30049064931545,953.0,-0.371708
2016,11.202,36.42367557383895,988.43,-0.186946
2017,10.749,37.04748470955855,973.25,-0.100918
2018,11.0,37.97456819275192,937.88,-0.239527
2019,10.876,38.06645052742118,946.76,-0.181309
2020,11.602,36.154321504134,955.51,-0.127737
2021,11.579,38.1210297863798,930.83,-0.256542
2022,10.726,38.24663894134803,936.28,-0.225291
2023,9.853,39.0239527073468,924.41,-0.263283
