Year,Temperature
1979,-0.138932
1980,-0.000251
1981,-0.007382
1982,-0.143299
1983,-0.059294
1984,-0.041209
1985,-0.091250
1986,-0.165446
1987,-0.134973
1988,-0.109783
1989,-0.078897
1990,-0.128667
1991,-0.108772
1992,-0.096998
1993,-0.114093
1994,-0.183854
1995,-0.175762
1996,-0.184104
1997,-0.140541
1998,-0.144645
1999,-0.270599
2000,-0.225969
2001,-0.256029
2002,-0.182332
2003,-0.131212
2004,-0.142198
2005,-0.210749
2006,-0.166518
2007,-0.194390
2008,-0.293654
2009,-0.293452
2010,-0.263775
2011,-0.366210
2012,-0.316129
2013,-0.248116
2014,-0.322117
2015,-0.371708
2016,-0.186946
2017,-0.100918
2018,-0.239527
2019,-0.181309
2020,-0.127737
2021,-0.256542
2022,-0.225291
2023,-0.263283
